date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,duration,r,r_sum
2024-03-20,2024-03-19,celh,Beverages - Non-Alcoholic,LONG,87.87,83.37,96.63,4.5,87.87,91.22,TE,5.0,0.7,17.8
2024-03-25,2024-03-22,mgnx,Biotechnology,LONG,15.54,14.53,17.5,1.0,,,,,,
2024-03-26,2024-03-25,mgnx,Biotechnology,LONG,14.58,13.65,16.38,0.9,14.59,13.65,SL,4.0,-1.0,16.7
2024-03-26,2024-03-25,mgni,Advertising Agencies,LONG,10.55,10.13,11.32,0.4,10.55,10.13,SL,4.0,-1.0,15.7
2024-03-27,2024-03-26,mgnx,Biotechnology,LONG,14.74,13.86,16.43,0.9,14.74,13.86,SL,2.0,-1.0,14.7
2024-03-28,2024-03-27,anf,Apparel Retail,LONG,123.85,118.62,133.95,5.2,123.85,133.95,TP,3.0,1.9,16.7
2024-04-02,2024-04-01,mod,Auto Parts,LONG,97.41,93.44,105.08,4.0,,,,,,
2024-04-02,2024-04-01,celh,Beverages - Non-Alcoholic,LONG,85.57,81.62,93.23,3.9,,,,,,
2024-04-02,2024-04-01,bhvn,Biotechnology,LONG,54.74,52.12,59.84,2.6,,,,,,
2024-04-03,2024-04-02,hims,Household & Personal Products,LONG,15.36,14.63,16.76,0.7,15.36,14.63,SL,1.0,-1.0,15.7
2024-04-03,2024-04-02,lyft,Software - Application,LONG,18.84,17.93,20.6,0.9,,,,,,
2024-04-03,2024-04-02,rkt,Mortgage Finance,LONG,13.7,13.05,14.94,0.6,,,,,,
2024-04-03,2024-04-02,bros,Restaurants,LONG,32.59,31.35,34.99,1.2,32.59,32.7,TE,5.0,0.1,15.8
2024-04-04,2024-04-03,iot,Software - Infrastructure,LONG,35.46,33.94,38.42,1.5,,,,,,
2024-04-04,2024-04-03,cc,Specialty Chemicals,SHORT,27.52,29.06,24.53,1.5,27.52,27.51,TE,5.0,0.0,15.8
2024-04-05,2024-04-04,iot,Software - Infrastructure,LONG,35.41,33.88,38.39,1.5,,,,,,
2024-04-05,2024-04-04,gps,Apparel Retail,LONG,26.22,25.36,27.87,0.9,,,,,,
2024-04-08,2024-04-05,gps,Apparel Retail,LONG,24.96,24.18,26.47,0.8,,,,,,
2024-04-09,2024-04-08,iot,Software—Infrastructure,LONG,34.43,33.09,37.03,1.3,,,,,,
2024-04-09,2024-04-08,ges,Apparel Retail,LONG,31.01,29.85,33.25,1.2,,,,,,
2024-04-09,2024-04-08,gps,Apparel Retail,LONG,24.49,23.69,26.04,0.8,,,,,,
2024-04-10,2024-04-09,anf,Apparel Retail,LONG,120.66,115.1,131.41,5.6,,,,,,
2024-04-10,2024-04-09,iot,Software—Infrastructure,LONG,34.23,32.98,36.63,1.2,,,,,,
2024-04-10,2024-04-09,ges,Apparel Retail,LONG,30.81,29.6,33.14,1.2,,,,,,
2024-04-10,2024-04-09,gps,Apparel Retail,LONG,23.8,23.01,25.33,0.8,,,,,,
2024-04-10,2024-04-09,hood,Capital Markets,LONG,18.77,17.97,20.32,0.8,,,,,,
2024-04-10,2024-04-09,chwy,Internet Retail,SHORT,16.91,17.54,15.71,0.6,16.91,17.54,SL,1.0,-1.0,14.8
2024-04-11,2024-04-10,anf,Apparel Retail,LONG,118.26,112.8,128.84,5.5,,,,,,
2024-04-11,2024-04-10,ges,Apparel Retail,LONG,29.26,28.04,31.61,1.2,,,,,,
2024-04-11,2024-04-10,iova,Biotechnology,LONG,12.75,12.04,14.12,0.7,12.75,12.04,SL,2.0,-1.0,13.8
2024-04-12,2024-04-11,ges,Apparel Retail,LONG,28.87,27.64,31.23,1.2,,,,,,
2024-04-15,2024-04-12,play,Entertainment,LONG,59.84,56.84,65.67,3.0,,,,,,
2024-04-15,2024-04-12,nclh,Travel Services,LONG,18.23,17.41,19.81,0.8,18.23,17.41,SL,0.0,-1.0,12.8
2024-04-15,2024-04-12,ges,Apparel Retail,LONG,28.37,27.17,30.68,1.2,,,,,,
2024-04-15,2024-04-12,gps,Apparel Retail,LONG,23.41,22.54,25.08,0.9,,,,,,
2024-04-15,2024-04-12,anf,Apparel Retail,LONG,115.91,110.54,126.31,5.4,,,,,,
2024-04-15,2024-04-12,dell,Computer Hardware,LONG,122.47,116.09,134.86,6.4,122.47,116.09,SL,1.0,-1.0,11.8
2024-04-15,2024-04-12,cohr,Scientific & Technical Instruments,LONG,55.35,53.46,58.97,1.9,,,,,,
2024-04-16,2024-04-15,gps,Apparel Retail,LONG,22.9,21.99,24.66,0.9,,,,,,
2024-04-16,2024-04-15,ges,Apparel Retail,LONG,27.93,26.86,29.97,1.1,,,,,,
2024-04-16,2024-04-15,iova,Biotechnology,LONG,12.55,11.82,13.95,0.7,,,,,,
2024-04-16,2024-04-15,cohr,Scientific & Technical Instruments,LONG,54.14,52.22,57.83,1.9,,,,,,
2024-04-17,2024-04-16,arhs,Home Improvement Retail,LONG,14.73,14.12,15.9,0.6,,,,,,
2024-04-17,2024-04-16,gps,Apparel Retail,LONG,21.64,20.7,23.46,0.9,,,,,,
2024-04-18,2024-04-17,iova,Biotechnology,LONG,12.14,11.45,13.45,0.7,,,,,,
2024-04-18,2024-04-17,infa,Software—Infrastructure,LONG,35.71,34.08,38.88,1.6,,,,,,
2024-04-18,2024-04-17,arhs,Home Improvement Retail,LONG,14.7,14.11,15.81,0.6,,,,,,
2024-04-18,2024-04-17,bv,Specialty Business Services,LONG,11.28,10.77,12.23,0.5,,,,,,
2024-04-19,2024-04-18,cohr,Scientific & Technical Instruments,LONG,52.05,50.37,55.26,1.7,,,,,,
2024-04-19,2024-04-18,lyft,Software—Application,LONG,17.47,16.59,19.18,0.9,,,,,,
2024-04-19,2024-04-18,gps,Apparel Retail,LONG,21.72,20.84,23.41,0.9,,,,,,
2024-04-19,2024-04-18,play,Entertainment,LONG,54.82,52.66,58.98,2.2,,,,,,
2024-04-19,2024-04-18,pltr,Software—Infrastructure,LONG,21.45,20.7,22.89,0.8,,,,,,
2024-04-19,2024-04-18,tndm,Medical Devices,LONG,32.17,30.6,35.22,1.6,,,,,,
2024-04-19,2024-04-18,app,Software—Application,LONG,71.9,68.52,78.45,3.4,,,,,,
2024-04-19,2024-04-18,arhs,Home Improvement Retail,LONG,14.68,14.09,15.79,0.6,,,,,,
2024-04-19,2024-04-18,mu,Semiconductors,LONG,117.73,112.68,127.5,5.0,,,,,,
2024-04-22,2024-04-19,mgnx,Biotechnology,LONG,16.35,15.43,18.13,0.9,,,,,,
2024-04-22,2024-04-19,para,Entertainment,SHORT,11.65,12.28,10.45,0.6,,,,,,
2024-04-22,2024-04-19,app,Software—Application,LONG,69.25,66.05,75.44,3.2,,,,,,
2024-04-22,2024-04-19,cohr,Scientific & Technical Instruments,LONG,51.05,49.29,54.42,1.8,51.05,54.42,TP,2.0,1.9,13.7
2024-04-22,2024-04-19,hood,Capital Markets,LONG,17.25,16.39,18.9,0.9,17.25,17.88,TE,5.0,0.7,14.4
2024-04-22,2024-04-19,iova,Biotechnology,LONG,11.71,11.05,12.97,0.7,,,,,,
2024-04-22,2024-04-19,dkng,Gambling,LONG,42.51,40.78,45.85,1.7,,,,,,
2024-04-22,2024-04-19,tndm,Medical Devices,LONG,31.42,29.88,34.41,1.5,31.42,34.41,TP,1.0,1.9,16.4
2024-04-22,2024-04-19,lyft,Software—Application,LONG,16.83,15.95,18.54,0.9,16.83,15.95,SL,2.0,-1.0,15.4
2024-04-22,2024-04-19,gps,Apparel Retail,LONG,21.08,20.23,22.72,0.8,21.09,20.23,SL,2.0,-1.0,14.4
2024-04-22,2024-04-19,wdc,Computer Hardware,LONG,68.48,65.71,73.81,2.8,,,,,,
2024-04-22,2024-04-19,arhs,Home Improvement Retail,LONG,14.23,13.65,15.33,0.6,,,,,,
2024-04-22,2024-04-19,mu,Semiconductors,LONG,110.99,105.79,121.07,5.2,,,,,,
2024-04-23,2024-04-22,dkng,Gambling,LONG,41.54,39.91,44.69,1.6,41.54,39.91,SL,2.0,-1.0,13.4
2024-04-23,2024-04-22,au,Gold,LONG,22.45,21.37,24.55,1.1,22.45,24.55,TP,4.0,1.9,15.3
2024-04-23,2024-04-22,iova,Biotechnology,LONG,11.66,11.01,12.9,0.7,11.66,12.03,TE,5.0,0.6,15.9
2024-04-24,2024-04-23,para,Entertainment,SHORT,12.18,12.82,10.96,0.6,,,,,,
2024-04-25,2024-04-24,itci,Drug Manufacturers—Specialty & Generic,LONG,74.19,69.45,83.46,4.7,,,,,,
2024-04-25,2024-04-24,gps,Apparel Retail,LONG,21.15,20.3,22.79,0.8,,,,,,
2024-04-30,2024-04-29,be,Electrical Equipment & Parts,SHORT,10.7,11.25,9.66,0.6,,,,,,
2024-05-01,2024-04-30,be,Electrical Equipment & Parts,SHORT,10.73,11.3,9.65,0.6,,,,,,
2024-05-01,2024-04-30,arry,Solar,SHORT,12.05,12.67,10.86,0.6,,,,,,
2024-05-06,2024-05-03,vsat,Communication Equipment,SHORT,17.01,17.85,15.39,0.8,,,,,,
2024-05-07,2024-05-06,enph,Solar,SHORT,113.89,120.52,100.97,6.6,113.89,110.78,TE,5.0,0.5,16.3
2024-05-07,2024-05-06,wolf,Semiconductors,SHORT,25.15,27.08,21.38,1.9,25.15,23.71,TE,5.0,0.7,17.1
2024-05-07,2024-05-06,arry,Solar,SHORT,13.43,14.12,12.12,0.7,13.43,14.12,SL,3.0,-1.0,16.1
2024-05-07,2024-05-06,vsat,Communication Equipment,SHORT,17.4,18.21,15.84,0.8,,,,,,
2024-05-14,2024-05-13,coin,Financial Data & Stock Exchanges,LONG,206.87,193.71,232.59,13.2,206.87,225.19,TE,5.0,1.4,17.5
2024-05-15,2024-05-14,snap,Internet Content & Information,LONG,15.91,15.27,17.13,0.6,15.98,15.63,TE,5.0,-0.5,16.9
2024-05-16,2024-05-15,max,Internet Content & Information,LONG,19.64,18.22,22.43,1.4,,,,,,
2024-05-20,2024-05-17,w,Internet Retail,LONG,69.05,65.46,76.02,3.6,,,,,,
2024-05-21,2024-05-20,tgtx,Biotechnology,LONG,16.67,15.98,17.98,0.7,16.67,16.85,TE,5.0,0.3,17.2
2024-05-21,2024-05-20,w,Internet Retail,LONG,68.93,65.62,75.34,3.3,,,,,,
2024-05-22,2024-05-21,twst,Diagnostics & Research,LONG,45.12,42.85,49.54,2.3,,,,,,
2024-05-22,2024-05-21,w,Internet Retail,LONG,66.88,63.53,73.41,3.3,,,,,,
2024-05-23,2024-05-22,www,Footwear & Accessories,LONG,13.36,12.94,14.13,0.4,,,,,,
2024-05-23,2024-05-22,w,Internet Retail,LONG,65.31,62.0,71.75,3.3,,,,,,
2024-05-24,2024-05-23,w,Internet Retail,LONG,62.88,59.84,68.78,3.0,62.88,59.84,SL,1.0,-1.0,16.2
2024-05-24,2024-05-23,lmnd,Insurance—Property & Casualty,LONG,16.74,15.65,18.86,1.1,,,,,,
2024-05-24,2024-05-23,www,Footwear & Accessories,LONG,13.13,12.75,13.83,0.4,13.13,13.83,TP,1.0,1.8,18.0
2024-05-24,2024-05-23,tds,Telecom Services,LONG,19.49,18.59,21.23,0.9,,,,,,
2024-05-27,2024-05-24,bros,Restaurants,LONG,34.78,33.57,37.11,1.2,34.78,35.07,TE,5.0,0.2,18.3
2024-05-27,2024-05-24,snap,Internet Content & Information,LONG,15.51,15.0,16.48,0.5,,,,,,
2024-05-27,2024-05-24,cvna,Auto & Truck Dealerships,LONG,112.9,107.78,122.82,5.1,,,,,,
2024-05-27,2024-05-24,oscr,Healthcare Plans,LONG,21.19,20.27,22.97,0.9,,,,,,
2024-05-27,2024-05-24,crnx,Biotechnology,LONG,49.51,47.49,53.4,2.0,,,,,,
2024-05-27,2024-05-24,tost,Software—Infrastructure,LONG,25.86,25.04,27.41,0.8,25.86,25.04,SL,1.0,-1.0,17.3
2024-05-28,2024-05-24,crnx,Biotechnology,LONG,49.51,47.49,53.4,2.0,,,,,,
2024-05-28,2024-05-24,bros,Restaurants,LONG,34.78,33.57,37.11,1.2,34.78,35.07,TE,5.0,0.2,17.5
2024-05-28,2024-05-24,snap,Internet Content & Information,LONG,15.51,15.0,16.48,0.5,,,,,,
2024-05-28,2024-05-24,cvna,Auto & Truck Dealerships,LONG,112.9,107.78,122.82,5.1,,,,,,
2024-05-28,2024-05-24,oscr,Healthcare Plans,LONG,21.19,20.27,22.97,0.9,,,,,,
2024-05-28,2024-05-24,tost,Software—Infrastructure,LONG,25.86,25.04,27.41,0.8,25.86,25.04,SL,1.0,-1.0,16.5
2024-05-29,2024-05-28,cvna,Auto & Truck Dealerships,LONG,111.11,105.87,121.29,5.2,,,,,,
2024-05-29,2024-05-28,iot,Software—Infrastructure,LONG,39.42,38.02,42.1,1.4,,,,,,
2024-05-30,2024-05-29,sg,Restaurants,LONG,30.66,28.82,34.25,1.8,,,,,,
2024-05-30,2024-05-29,crbg,Asset Management,LONG,29.75,28.54,32.08,1.2,29.75,29.54,TE,5.0,-0.2,16.3
2024-05-30,2024-05-29,ptct,Biotechnology,LONG,36.52,34.46,40.56,2.1,36.52,38.0,TE,5.0,0.7,17.1
2024-06-03,2024-05-31,cvna,Auto & Truck Dealerships,LONG,103.4,98.4,113.09,5.0,103.4,98.4,SL,0.0,-1.0,16.1
2024-06-03,2024-05-31,vsat,Communication Equipment,SHORT,16.15,17.35,13.81,1.2,,,,,,
2024-06-04,2024-06-03,rblx,Electronic Gaming & Multimedia,SHORT,33.85,34.81,32.03,1.0,,,,,,
2024-06-04,2024-06-03,kss,Department Stores,SHORT,22.93,24.5,19.85,1.6,22.93,22.99,TE,5.0,-0.0,16.0
2024-06-07,2024-06-06,vfc,Apparel Manufacturing,SHORT,13.35,14.1,11.91,0.8,,,,,,
2024-06-10,2024-06-07,be,Electrical Equipment & Parts,LONG,15.13,14.06,17.22,1.1,15.13,14.06,SL,4.0,-1.0,15.0
2024-06-10,2024-06-07,aa,Aluminum,LONG,41.91,40.33,44.95,1.6,,,,,,
2024-06-10,2024-06-07,gps,Apparel Retail,LONG,26.12,24.54,29.19,1.6,26.12,24.54,SL,4.0,-1.0,14.0
2024-06-11,2024-06-10,fl,Apparel Retail,LONG,25.57,23.99,28.66,1.6,,,,,,
2024-06-12,2024-06-11,janx,Biotechnology,LONG,43.2,40.18,49.12,3.0,43.64,40.18,SL,3.0,-1.1,12.9
2024-06-13,2024-06-12,aa,Aluminum,LONG,42.29,40.67,45.42,1.6,,,,,,
2024-06-14,2024-06-13,vir,Biotechnology,LONG,10.46,9.6,12.11,0.9,,,,,,
2024-06-14,2024-06-13,tds,Telecom Services,LONG,20.52,19.36,22.79,1.2,,,,,,
2024-06-14,2024-06-13,aa,Aluminum,LONG,39.89,38.36,42.84,1.5,,,,,,
2024-06-14,2024-06-13,tndm,Medical Devices,LONG,47.52,45.29,51.83,2.2,,,,,,
2024-06-18,2024-06-17,be,Electrical Equipment & Parts,LONG,14.27,13.37,16.01,0.9,,,,,,
2024-06-18,2024-06-17,flnc,Utilities—Renewable,LONG,20.88,19.23,24.12,1.6,,,,,,
2024-06-18,2024-06-17,enph,Solar,LONG,124.32,117.86,136.87,6.5,,,,,,
2024-06-18,2024-06-17,tdw,Oil & Gas Equipment & Services,LONG,97.94,93.21,107.09,4.7,97.94,,-,3.0,-0.8,12.1
2024-06-18,2024-06-17,aa,Aluminum,LONG,37.77,36.33,40.54,1.4,37.77,,-,3.0,1.8,13.9
2024-06-18,2024-06-17,tndm,Medical Devices,LONG,44.96,42.9,48.97,2.1,,,,,,
2024-06-18,2024-06-17,fslr,Solar,LONG,274.33,259.1,304.03,15.2,,,,,,
2024-06-18,2024-06-17,sg,Restaurants,LONG,31.89,29.55,36.49,2.3,31.89,,-,3.0,-1.2,12.7
2024-06-18,2024-06-17,tds,Telecom Services,LONG,19.62,18.68,21.44,0.9,,,,,,
2024-06-19,2024-06-18,mrna,Biotechnology,LONG,137.4,131.36,149.1,6.0,,,,,,
2024-06-19,2024-06-18,be,Electrical Equipment & Parts,LONG,14.04,13.2,15.66,0.8,14.04,,-,2.0,-1.5,11.3
2024-06-20,2024-06-18,mrna,Biotechnology,LONG,137.4,131.36,149.1,6.0,,,,,,
2024-06-20,2024-06-18,be,Electrical Equipment & Parts,LONG,14.04,13.2,15.66,0.8,14.04,,-,2.0,-1.5,9.8
2024-06-21,2024-06-20,hood,Capital Markets,LONG,22.09,21.04,24.12,1.1,22.09,,-,1.0,0.2,10.0
2024-06-21,2024-06-20,tdw,Oil & Gas Equipment & Services,LONG,98.86,94.2,107.91,4.7,,,,,,
2024-06-21,2024-06-20,tds,Telecom Services,LONG,19.33,18.45,21.02,0.9,,,,,,
